0 -2289 1413 3 1261 384 -115 -116 -649 477 -345 -152 -70 -151 -13 -29 -11 -2 -33 -21 -31 -6 -33 6 0 2 13 -33 -4 -20 -29 -5
1501 -1866 -1060 -1635 329 722 -955 328 -170 532 17 66 101 -22 83 24 51 36 8 0 11 13 -9 -3 18 12 18 -4 19 7 7 -7
-471 2050 -656 -647 792 1445 -1344 252 -136 17 -40 -96 53 -98 34 -69 0 -21 -5 -14 30 9 -3 -39 14 -2 0 -6 5 -12 6 -34
767 707 -1528 675 -66 810 -486 4 -260 216 -69 -51 89 -46 41 -55 -18 -34 0 10 27 5 -5 -41 0 -22 11 7 1 12 -8 -12
2381 -2188 -821 -100 -200 75 -54 45 -283 427 -39 72 101 37 52 -5 -16 3 10 43 29 27 -2 -5 -1 -10 14 18 4 25 -12 6
2863 -839 2149 -1088 1247 334 -430 141 -242 -10 -150 -72 -57 -42 -19 -58 -47 -3 -26 -9 -3 3 -32 -6 -11 8 -15 -10 1 -12 -19 -6
-1299 -381 -329 -1192 -12 192 -457 273 128 94 79 39 32 39 54 22 46 37 20 -15 8 -8 -2 8 18 23 0 -3 13 6 5 0
-81 1190 -547 1171 -311 -91 292 -152 7 -40 -31 -102 -24 -57 -11 -9 11 -12 9 -13 -6 -40 10 3 20 -4 4 0 -20 -10 11 -21
-640 361 -725 799 -574 -142 245 -15 26 2 8 -15 -4 9 5 19 5 -2 -6 5 -14 -18 2 2 16 -11 1 4 -15 -5 7 -12
-370 -457 690 -506 30 -59 -73 119 21 -59 21 45 -7 57 4 -6 -10 16 -10 27 11 28 -13 0 -9 7 3 -5 29 11 -2 8
349 -363 1140 -276 281 -163 99 -17 -25 -114 -11 14 -5 28 -29 -29 -42 -27 -23 12 20 11 -10 -4 -31 -4 1 -21 11 -3 -9 -9
-917 97 -439 411 -357 -233 256 -50 38 -39 29 23 38 25 -9 42 -2 -23 5 17 28 -2 17 0 -3 -18 16 5 2 10 21 -13
-599 611 -33 379 -73 -268 269 -138 90 -75 37 -25 0 -33 -20 20 2 -4 -11 -1 -6 -12 0 -6 0 -7 11 -12 5 -5 19 -17
-729 310 -83 98 -216 -46 46 14 67 -6 13 -10 -62 -7 0 27 30 32 -25 -14 -25 7 5 21 6 23 3 -42 -2 -5 1 -14
203 -287 378 -134 -18 -104 48 24 42 15 17 -4 -63 -7 -18 37 29 29 -10 -15 -29 -5 -11 10 0 18 10 -19 8 13 12 -2
78 -121 173 -5 -1 -94 53 -18 4 0 15 1 -14 3 -28 32 3 -3 0 -8 -7 9 0 1 18 -12 8 -21 -10 3 -17 4
-565 351 -261 233 -90 21 45 -36 -25 -18 7 3 12 11 -8 -3 -23 -2 -5 9 8 21 0 -14 1 -21 23 -13 -1 39 -12 8
-160 25 58 -20 108 -107 104 -89 -6 -36 42 17 40 12 22 -30 -39 10 -15 14 9 21 -7 -9 -25 2 5 -2 -11 29 -6 -11
-205 123 -96 148 -77 51 -17 10 -48 -17 -4 7 -12 18 1 -14 -19 7 2 0 15 20 -4 0 -14 20 -30 18 -8 12 -3 7
223 -235 210 -136 49 -91 60 -5 35 12 22 -4 -26 15 -13 6 12 1 6 -27 -2 -9 -4 1 9 16 -17 5 -3 -6 -6 11
-53 99 -16 28 -75 -31 2 21 32 5 1 -29 -49 -6 -7 28 29 19 9 -19 -16 -10 -2 9 27 -14 32 -23 -13 14 -11 9
-201 189 -129 76 -79 -20 2 43 26 22 6 -15 -25 -25 11 15 10 20 -6 -8 -24 7 -19 13 17 -18 29 -22 -11 10 -13 11
62 -84 100 -73 87 -95 54 -23 -7 2 -4 3 5 -9 22 -17 -1 1 -20 8 2 12 -11 12 -14 24 -22 12 6 -23 11 0
-218 136 -135 159 -63 85 -42 12 -49 -5 -16 30 6 24 3 -19 -4 -19 -3 20 31 0 -2 -13 -35 20 -26 29 13 -14 27 -10
167 -233 173 -100 135 -56 39 -58 0 -43 18 20 40 16 -2 -5 -28 -44 6 7 31 20 2 -11 -2 -26 16 -12 4 -3 -4 -1
-138 106 -111 112 -54 37 -23 3 -3 -8 -8 4 -3 -5 -5 10 -4 -21 11 0 2 12 -14 -14 16 -28 39 -18 16 13 -12 15
-9 37 23 -30 8 -47 12 11 32 26 -10 11 -37 -8 19 8 32 7 -8 1 -11 -8 1 7 0 17 -6 -16 -1 -17 12 -14
77 -54 80 -103 20 -94 22 10 37 30 -22 -3 -58 -28 10 7 27 10 -11 -6 -26 -6 -1 15 4 33 -14 -5 0 -9 20 -11
-120 154 -120 129 -110 33 -18 48 15 38 -11 0 -25 -14 4 27 14 7 7 -3 -36 12 -19 -3 27 -2 15 -20 1 -1 -14 4
154 -198 178 -119 105 -89 46 -58 4 -35 7 -4 19 3 4 -3 -13 -14 2 21 -1 23 2 -15 7 -22 13 -22 13 9 8 -1
-258 149 -136 148 -52 90 -28 8 -24 -16 -1 38 8 29 -1 -25 -24 -25 2 8 19 -1 5 -17 -9 5 2 8 -2 10 -7 -11
57 -110 87 -40 87 -40 34 -51 -23 -32 -7 32 14 24 9 -19 -22 -17 15 0 35 10 1 -10 -21 3 -19 13 0 19 -9 10
